,Symbol,Date,100 day avg,100 day avg offset,100 day slope,5 day avg,5 day avg offset,5 day slope,10 day avg,10 day avg offset,10 day slope,Todays close,Todays open,Buy,Sell
138,CCI,,0,0,0,0,0,0,0,0,0,0,0,0,0
94,CCL,,0,0,0,0,0,0,0,0,0,0,0,0,0
88,CDNS,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,CE,,0,0,0,0,0,0,0,0,0,0,0,0,0
100,CELG,,0,0,0,0,0,0,0,0,0,0,0,0,0
104,CERN,,0,0,0,0,0,0,0,0,0,0,0,0,0
105,CF,,0,0,0,0,0,0,0,0,0,0,0,0,0
118,CFG,,0,0,0,0,0,0,0,0,0,0,0,0,0
111,CHD,,0,0,0,0,0,0,0,0,0,0,0,0,0
86,CHRW,,0,0,0,0,0,0,0,0,0,0,0,0,0
107,CHTR,,0,0,0,0,0,0,0,0,0,0,0,0,0
112,CI,,0,0,0,0,0,0,0,0,0,0,0,0,0
114,CINF,,0,0,0,0,0,0,0,0,0,0,0,0,0
125,CL,,0,0,0,0,0,0,0,0,0,0,0,0,0
120,CLX,,0,0,0,0,0,0,0,0,0,0,0,0,0
127,CMA,,0,0,0,0,0,0,0,0,0,0,0,0,0
126,CMCSA,,0,0,0,0,0,0,0,0,0,0,0,0,0
121,CME,,0,0,0,0,0,0,0,0,0,0,0,0,0
109,CMG,,0,0,0,0,0,0,0,0,0,0,0,0,0
140,CMI,,0,0,0,0,0,0,0,0,0,0,0,0,0
122,CMS,,0,0,0,0,0,0,0,0,0,0,0,0,0
101,CNC,,0,0,0,0,0,0,0,0,0,0,0,0,0
102,CNP,,0,0,0,0,0,0,0,0,0,0,0,0,0
90,COF,,0,0,0,0,0,0,0,0,0,0,0,0,0
87,COG,,0,0,0,0,0,0,0,0,0,0,0,0,0
133,COO,,0,0,0,0,0,0,0,0,0,0,0,0,0
130,COP,,0,0,0,0,0,0,0,0,0,0,0,0,0
136,COST,,0,0,0,0,0,0,0,0,0,0,0,0,0
137,COTY,,0,0,0,0,0,0,0,0,0,0,0,0,0
89,CPB,,0,0,0,0,0,0,0,0,0,0,0,0,0
91,CPRI,,0,0,0,0,0,0,0,0,0,0,0,0,0
134,CPRT,,0,0,0,0,0,0,0,0,0,0,0,0,0
408,CRM,,0,0,0,0,0,0,0,0,0,0,0,0,0
116,CSCO,,0,0,0,0,0,0,0,0,0,0,0,0,0
139,CSX,,0,0,0,0,0,0,0,0,0,0,0,0,0
115,CTAS,,0,0,0,0,0,0,0,0,0,0,0,0,0
103,CTL,,0,0,0,0,0,0,0,0,0,0,0,0,0
124,CTSH,,0,0,0,0,0,0,0,0,0,0,0,0,0
119,CTXS,,0,0,0,0,0,0,0,0,0,0,0,0,0
141,CVS,,0,0,0,0,0,0,0,0,0,0,0,0,0
108,CVX,,0,0,0,0,0,0,0,0,0,0,0,0,0
129,CXO,,0,0,0,0,0,0,0,0,0,0,0,0,0
158,D,,0,0,0,0,0,0,0,0,0,0,0,0,0
147,DAL,,0,0,0,0,0,0,0,0,0,0,0,0,0
146,DE,,0,0,0,0,0,0,0,0,0,0,0,0,0
152,DFS,,0,0,0,0,0,0,0,0,0,0,0,0,0
156,DG,,0,0,0,0,0,0,0,0,0,0,0,0,0
392,DGX,,0,0,0,0,0,0,0,0,0,0,0,0,0
142,DHI,,0,0,0,0,0,0,0,0,0,0,0,0,0
143,DHR,,0,0,0,0,0,0,0,0,0,0,0,0,0
482,DIS,,0,0,0,0,0,0,0,0,0,0,0,0,0
153,DISCA,,0,0,0,0,0,0,0,0,0,0,0,0,0
154,DISCK,,0,0,0,0,0,0,0,0,0,0,0,0,0
155,DISH,,0,0,0,0,0,0,0,0,0,0,0,0,0
151,DLR,,0,0,0,0,0,0,0,0,0,0,0,0,0
157,DLTR,,0,0,0,0,0,0,0,0,0,0,0,0,0
159,DOV,,0,0,0,0,0,0,0,0,0,0,0,0,0
162,DRE,,0,0,0,0,0,0,0,0,0,0,0,0,0
144,DRI,,0,0,0,0,0,0,0,0,0,0,0,0,0
161,DTE,,0,0,0,0,0,0,0,0,0,0,0,0,0
163,DUK,,0,0,0,0,0,0,0,0,0,0,0,0,0
145,DVA,,0,0,0,0,0,0,0,0,0,0,0,0,0
149,DVN,,0,0,0,0,0,0,0,0,0,0,0,0,0
160,DWDP,,0,0,0,0,0,0,0,0,0,0,0,0,0
164,DXC,,0,0,0,0,0,0,0,0,0,0,0,0,0
172,EA,,0,0,0,0,0,0,0,0,0,0,0,0,0
168,EBAY,,0,0,0,0,0,0,0,0,0,0,0,0,0
169,ECL,,0,0,0,0,0,0,0,0,0,0,0,0,0
131,ED,,0,0,0,0,0,0,0,0,0,0,0,0,0
176,EFX,,0,0,0,0,0,0,0,0,0,0,0,0,0
170,EIX,,0,0,0,0,0,0,0,0,0,0,0,0,0
180,EL,,0,0,0,0,0,0,0,0,0,0,0,0,0
166,EMN,,0,0,0,0,0,0,0,0,0,0,0,0,0
173,EMR,,0,0,0,0,0,0,0,0,0,0,0,0,0
175,EOG,,0,0,0,0,0,0,0,0,0,0,0,0,0
177,EQIX,,0,0,0,0,0,0,0,0,0,0,0,0,0
178,EQR,,0,0,0,0,0,0,0,0,0,0,0,0,0
182,ES,,0,0,0,0,0,0,0,0,0,0,0,0,0
179,ESS,,0,0,0,0,0,0,0,0,0,0,0,0,0
165,ETFC,,0,0,0,0,0,0,0,0,0,0,0,0,0
167,ETN,,0,0,0,0,0,0,0,0,0,0,0,0,0
174,ETR,,0,0,0,0,0,0,0,0,0,0,0,0,0
181,EVRG,,0,0,0,0,0,0,0,0,0,0,0,0,0
171,EW,,0,0,0,0,0,0,0,0,0,0,0,0,0
184,EXC,,0,0,0,0,0,0,0,0,0,0,0,0,0
186,EXPD,,0,0,0,0,0,0,0,0,0,0,0,0,0
185,EXPE,,0,0,0,0,0,0,0,0,0,0,0,0,0
187,EXR,,0,0,0,0,0,0,0,0,0,0,0,0,0
205,F,,0,0,0,0,0,0,0,0,0,0,0,0,0
150,FANG,,0,0,0,0,0,0,0,0,0,0,0,0,0
191,FAST,,0,0,0,0,0,0,0,0,0,0,0,0,0
190,FB,,0,0,0,0,0,0,0,0,0,0,0,0,0
208,FBHS,,0,0,0,0,0,0,0,0,0,0,0,0,0
210,FCX,,0,0,0,0,0,0,0,0,0,0,0,0,0
193,FDX,,0,0,0,0,0,0,0,0,0,0,0,0,0
196,FE,,0,0,0,0,0,0,0,0,0,0,0,0,0
189,FFIV,,0,0,0,0,0,0,0,0,0,0,0,0,0
194,FIS,,0,0,0,0,0,0,0,0,0,0,0,0,0
198,FISV,,0,0,0,0,0,0,0,0,0,0,0,0,0
195,FITB,,0,0,0,0,0,0,0,0,0,0,0,0,0
204,FL,,0,0,0,0,0,0,0,0,0,0,0,0,0
200,FLIR,,0,0,0,0,0,0,0,0,0,0,0,0,0
202,FLR,,0,0,0,0,0,0,0,0,0,0,0,0,0
201,FLS,,0,0,0,0,0,0,0,0,0,0,0,0,0
199,FLT,,0,0,0,0,0,0,0,0,0,0,0,0,0
203,FMC,,0,0,0,0,0,0,0,0,0,0,0,0,0
452,FOX,,0,0,0,0,0,0,0,0,0,0,0,0,0
451,FOXA,,0,0,0,0,0,0,0,0,0,0,0,0,0
197,FRC,,0,0,0,0,0,0,0,0,0,0,0,0,0
192,FRT,,0,0,0,0,0,0,0,0,0,0,0,0,0
437,FTI,,0,0,0,0,0,0,0,0,0,0,0,0,0
206,FTNT,,0,0,0,0,0,0,0,0,0,0,0,0,0
207,FTV,,0,0,0,0,0,0,0,0,0,0,0,0,0
214,GD,,0,0,0,0,0,0,0,0,0,0,0,0,0
215,GE,,0,0,0,0,0,0,0,0,0,0,0,0,0
219,GILD,,0,0,0,0,0,0,0,0,0,0,0,0,0
216,GIS,,0,0,0,0,0,0,0,0,0,0,0,0,0
135,GLW,,0,0,0,0,0,0,0,0,0,0,0,0,0
217,GM,,0,0,0,0,0,0,0,0,0,0,0,0,0
26,GOOG,,0,0,0,0,0,0,0,0,0,0,0,0,0
25,GOOGL,,0,0,0,0,0,0,0,0,0,0,0,0,0
218,GPC,,0,0,0,0,0,0,0,0,0,0,0,0,0
220,GPN,,0,0,0,0,0,0,0,0,0,0,0,0,0
211,GPS,,0,0,0,0,0,0,0,0,0,0,0,0,0
212,GRMN,,0,0,0,0,0,0,0,0,0,0,0,0,0
221,GS,,0,0,0,0,0,0,0,0,0,0,0,0,0
222,GWW,,0,0,0,0,0,0,0,0,0,0,0,0,0
223,HAL,,0,0,0,0,0,0,0,0,0,0,0,0,0
228,HAS,,0,0,0,0,0,0,0,0,0,0,0,0,0
245,HBAN,,0,0,0,0,0,0,0,0,0,0,0,0,0
224,HBI,,0,0,0,0,0,0,0,0,0,0,0,0,0
229,HCA,,0,0,0,0,0,0,0,0,0,0,0,0,0
230,HCP,,0,0,0,0,0,0,0,0,0,0,0,0,0
239,HD,,0,0,0,0,0,0,0,0,0,0,0,0,0
234,HES,,0,0,0,0,0,0,0,0,0,0,0,0,0
237,HFC,,0,0,0,0,0,0,0,0,0,0,0,0,0
227,HIG,,0,0,0,0,0,0,0,0,0,0,0,0,0
246,HII,,0,0,0,0,0,0,0,0,0,0,0,0,0
236,HLT,,0,0,0,0,0,0,0,0,0,0,0,0,0
225,HOG,,0,0,0,0,0,0,0,0,0,0,0,0,0
238,HOLX,,0,0,0,0,0,0,0,0,0,0,0,0,0
240,HON,,0,0,0,0,0,0,0,0,0,0,0,0,0
231,HP,,0,0,0,0,0,0,0,0,0,0,0,0,0
235,HPE,,0,0,0,0,0,0,0,0,0,0,0,0,0
243,HPQ,,0,0,0,0,0,0,0,0,0,0,0,0,0
75,HRB,,0,0,0,0,0,0,0,0,0,0,0,0,0
241,HRL,,0,0,0,0,0,0,0,0,0,0,0,0,0
226,HRS,,0,0,0,0,0,0,0,0,0,0,0,0,0
232,HSIC,,0,0,0,0,0,0,0,0,0,0,0,0,0
242,HST,,0,0,0,0,0,0,0,0,0,0,0,0,0
233,HSY,,0,0,0,0,0,0,0,0,0,0,0,0,0
244,HUM,,0,0,0,0,0,0,0,0,0,0,0,0,0
254,IBM,,0,0,0,0,0,0,0,0,0,0,0,0,0
253,ICE,,0,0,0,0,0,0,0,0,0,0,0,0,0
247,IDXX,,0,0,0,0,0,0,0,0,0,0,0,0,0
258,IFF,,0,0,0,0,0,0,0,0,0,0,0,0,0
250,ILMN,,0,0,0,0,0,0,0,0,0,0,0,0,0
255,INCY,,0,0,0,0,0,0,0,0,0,0,0,0,0
248,INFO,,0,0,0,0,0,0,0,0,0,0,0,0,0
252,INTC,,0,0,0,0,0,0,0,0,0,0,0,0,0
259,INTU,,0,0,0,0,0,0,0,0,0,0,0,0,0
256,IP,,0,0,0,0,0,0,0,0,0,0,0,0,0
257,IPG,,0,0,0,0,0,0,0,0,0,0,0,0,0
262,IPGP,,0,0,0,0,0,0,0,0,0,0,0,0,0
263,IQV,,0,0,0,0,0,0,0,0,0,0,0,0,0
251,IR,,0,0,0,0,0,0,0,0,0,0,0,0,0
264,IRM,,0,0,0,0,0,0,0,0,0,0,0,0,0
260,ISRG,,0,0,0,0,0,0,0,0,0,0,0,0,0
213,IT,,0,0,0,0,0,0,0,0,0,0,0,0,0
249,ITW,,0,0,0,0,0,0,0,0,0,0,0,0,0
261,IVZ,,0,0,0,0,0,0,0,0,0,0,0,0,0
267,JBHT,,0,0,0,0,0,0,0,0,0,0,0,0,0
271,JCI,,0,0,0,0,0,0,0,0,0,0,0,0,0
266,JEC,,0,0,0,0,0,0,0,0,0,0,0,0,0
268,JEF,,0,0,0,0,0,0,0,0,0,0,0,0,0
265,JKHY,,0,0,0,0,0,0,0,0,0,0,0,0,0
270,JNJ,,0,0,0,0,0,0,0,0,0,0,0,0,0
273,JNPR,,0,0,0,0,0,0,0,0,0,0,0,0,0
272,JPM,,0,0,0,0,0,0,0,0,0,0,0,0,0
348,JWN,,0,0,0,0,0,0,0,0,0,0,0,0,0
275,K,,0,0,0,0,0,0,0,0,0,0,0,0,0
276,KEY,,0,0,0,0,0,0,0,0,0,0,0,0,0
277,KEYS,,0,0,0,0,0,0,0,0,0,0,0,0,0
283,KHC,,0,0,0,0,0,0,0,0,0,0,0,0,0
279,KIM,,0,0,0,0,0,0,0,0,0,0,0,0,0
281,KLAC,,0,0,0,0,0,0,0,0,0,0,0,0,0
278,KMB,,0,0,0,0,0,0,0,0,0,0,0,0,0
280,KMI,,0,0,0,0,0,0,0,0,0,0,0,0,0
93,KMX,,0,0,0,0,0,0,0,0,0,0,0,0,0
123,KO,,0,0,0,0,0,0,0,0,0,0,0,0,0
284,KR,,0,0,0,0,0,0,0,0,0,0,0,0,0
282,KSS,,0,0,0,0,0,0,0,0,0,0,0,0,0
274,KSU,,0,0,0,0,0,0,0,0,0,0,0,0,0
297,L,,0,0,0,0,0,0,0,0,0,0,0,0,0
285,LB,,0,0,0,0,0,0,0,0,0,0,0,0,0
290,LEG,,0,0,0,0,0,0,0,0,0,0,0,0,0
291,LEN,,0,0,0,0,0,0,0,0,0,0,0,0,0
287,LH,,0,0,0,0,0,0,0,0,0,0,0,0,0
294,LIN,,0,0,0,0,0,0,0,0,0,0,0,0,0
295,LKQ,,0,0,0,0,0,0,0,0,0,0,0,0,0
286,LLL,,0,0,0,0,0,0,0,0,0,0,0,0,0
292,LLY,,0,0,0,0,0,0,0,0,0,0,0,0,0
296,LMT,,0,0,0,0,0,0,0,0,0,0,0,0,0
293,LNC,,0,0,0,0,0,0,0,0,0,0,0,0,0
23,LNT,,0,0,0,0,0,0,0,0,0,0,0,0,0
298,LOW,,0,0,0,0,0,0,0,0,0,0,0,0,0
288,LRCX,,0,0,0,0,0,0,0,0,0,0,0,0,0
420,LUV,,0,0,0,0,0,0,0,0,0,0,0,0,0
289,LW,,0,0,0,0,0,0,0,0,0,0,0,0,0
299,LYB,,0,0,0,0,0,0,0,0,0,0,0,0,0
302,M,,0,0,0,0,0,0,0,0,0,0,0,0,0
309,MA,,0,0,0,0,0,0,0,0,0,0,0,0,0
323,MAA,,0,0,0,0,0,0,0,0,0,0,0,0,0
301,MAC,,0,0,0,0,0,0,0,0,0,0,0,0,0
305,MAR,,0,0,0,0,0,0,0,0,0,0,0,0,0
308,MAS,,0,0,0,0,0,0,0,0,0,0,0,0,0
310,MAT,,0,0,0,0,0,0,0,0,0,0,0,0,0
313,MCD,,0,0,0,0,0,0,0,0,0,0,0,0,0
320,MCHP,,0,0,0,0,0,0,0,0,0,0,0,0,0
314,MCK,,0,0,0,0,0,0,0,0,0,0,0,0,0
328,MCO,,0,0,0,0,0,0,0,0,0,0,0,0,0
326,MDLZ,,0,0,0,0,0,0,0,0,0,0,0,0,0
315,MDT,,0,0,0,0,0,0,0,0,0,0,0,0,0
317,MET,,0,0,0,0,0,0,0,0,0,0,0,0,0
319,MGM,,0,0,0,0,0,0,0,0,0,0,0,0,0
324,MHK,,0,0,0,0,0,0,0,0,0,0,0,0,0
311,MKC,,0,0,0,0,0,0,0,0,0,0,0,0,0
307,MLM,,0,0,0,0,0,0,0,0,0,0,0,0,0
306,MMC,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MMM,,0,0,0,0,0,0,0,0,0,0,0,0,0
327,MNST,,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MO,,0,0,0,0,0,0,0,0,0,0,0,0,0
330,MOS,,0,0,0,0,0,0,0,0,0,0,0,0,0
304,MPC,,0,0,0,0,0,0,0,0,0,0,0,0,0
316,MRK,,0,0,0,0,0,0,0,0,0,0,0,0,0
303,MRO,,0,0,0,0,0,0,0,0,0,0,0,0,0
329,MS,,0,0,0,0,0,0,0,0,0,0,0,0,0
332,MSCI,,0,0,0,0,0,0,0,0,0,0,0,0,0
322,MSFT,,0,0,0,0,0,0,0,0,0,0,0,0,0
331,MSI,,0,0,0,0,0,0,0,0,0,0,0,0,0
300,MTB,,0,0,0,0,0,0,0,0,0,0,0,0,0
318,MTD,,0,0,0,0,0,0,0,0,0,0,0,0,0
321,MU,,0,0,0,0,0,0,0,0,0,0,0,0,0
312,MXIM,,0,0,0,0,0,0,0,0,0,0,0,0,0
333,MYL,,0,0,0,0,0,0,0,0,0,0,0,0,0
347,NBL,,0,0,0,0,0,0,0,0,0,0,0,0,0
352,NCLH,,0,0,0,0,0,0,0,0,0,0,0,0,0
334,NDAQ,,0,0,0,0,0,0,0,0,0,0,0,0,0
343,NEE,,0,0,0,0,0,0,0,0,0,0,0,0,0
340,NEM,,0,0,0,0,0,0,0,0,0,0,0,0,0
338,NFLX,,0,0,0,0,0,0,0,0,0,0,0,0,0
346,NI,,0,0,0,0,0,0,0,0,0,0,0,0,0
345,NKE,,0,0,0,0,0,0,0,0,0,0,0,0,0
336,NKTR,,0,0,0,0,0,0,0,0,0,0,0,0,0
344,NLSN,,0,0,0,0,0,0,0,0,0,0,0,0,0
351,NOC,,0,0,0,0,0,0,0,0,0,0,0,0,0
335,NOV,,0,0,0,0,0,0,0,0,0,0,0,0,0
353,NRG,,0,0,0,0,0,0,0,0,0,0,0,0,0
349,NSC,,0,0,0,0,0,0,0,0,0,0,0,0,0
337,NTAP,,0,0,0,0,0,0,0,0,0,0,0,0,0
350,NTRS,,0,0,0,0,0,0,0,0,0,0,0,0,0
354,NUE,,0,0,0,0,0,0,0,0,0,0,0,0,0
355,NVDA,,0,0,0,0,0,0,0,0,0,0,0,0,0
339,NWL,,0,0,0,0,0,0,0,0,0,0,0,0,0
342,NWS,,0,0,0,0,0,0,0,0,0,0,0,0,0
341,NWSA,,0,0,0,0,0,0,0,0,0,0,0,0,0
395,O,,0,0,0,0,0,0,0,0,0,0,0,0,0
359,OKE,,0,0,0,0,0,0,0,0,0,0,0,0,0
358,OMC,,0,0,0,0,0,0,0,0,0,0,0,0,0
360,ORCL,,0,0,0,0,0,0,0,0,0,0,0,0,0
356,ORLY,,0,0,0,0,0,0,0,0,0,0,0,0,0
357,OXY,,0,0,0,0,0,0,0,0,0,0,0,0,0
364,PAYX,,0,0,0,0,0,0,0,0,0,0,0,0,0
367,PBCT,,0,0,0,0,0,0,0,0,0,0,0,0,0
361,PCAR,,0,0,0,0,0,0,0,0,0,0,0,0,0
385,PEG,,0,0,0,0,0,0,0,0,0,0,0,0,0
368,PEP,,0,0,0,0,0,0,0,0,0,0,0,0,0
371,PFE,,0,0,0,0,0,0,0,0,0,0,0,0,0
380,PFG,,0,0,0,0,0,0,0,0,0,0,0,0,0
381,PG,,0,0,0,0,0,0,0,0,0,0,0,0,0
382,PGR,,0,0,0,0,0,0,0,0,0,0,0,0,0
363,PH,,0,0,0,0,0,0,0,0,0,0,0,0,0
387,PHM,,0,0,0,0,0,0,0,0,0,0,0,0,0
362,PKG,,0,0,0,0,0,0,0,0,0,0,0,0,0
369,PKI,,0,0,0,0,0,0,0,0,0,0,0,0,0
383,PLD,,0,0,0,0,0,0,0,0,0,0,0,0,0
372,PM,,0,0,0,0,0,0,0,0,0,0,0,0,0
376,PNC,,0,0,0,0,0,0,0,0,0,0,0,0,0
366,PNR,,0,0,0,0,0,0,0,0,0,0,0,0,0
374,PNW,,0,0,0,0,0,0,0,0,0,0,0,0,0
378,PPG,,0,0,0,0,0,0,0,0,0,0,0,0,0
379,PPL,,0,0,0,0,0,0,0,0,0,0,0,0,0
370,PRGO,,0,0,0,0,0,0,0,0,0,0,0,0,0
384,PRU,,0,0,0,0,0,0,0,0,0,0,0,0,0
386,PSA,,0,0,0,0,0,0,0,0,0,0,0,0,0
373,PSX,,0,0,0,0,0,0,0,0,0,0,0,0,0
388,PVH,,0,0,0,0,0,0,0,0,0,0,0,0,0
390,PWR,,0,0,0,0,0,0,0,0,0,0,0,0,0
375,PXD,,0,0,0,0,0,0,0,0,0,0,0,0,0
365,PYPL,,0,0,0,0,0,0,0,0,0,0,0,0,0
391,QCOM,,0,0,0,0,0,0,0,0,0,0,0,0,0
389,QRVO,,0,0,0,0,0,0,0,0,0,0,0,0,0
407,RCL,,0,0,0,0,0,0,0,0,0,0,0,0,0
183,RE,,0,0,0,0,0,0,0,0,0,0,0,0,0
397,REG,,0,0,0,0,0,0,0,0,0,0,0,0,0
398,REGN,,0,0,0,0,0,0,0,0,0,0,0,0,0
399,RF,,0,0,0,0,0,0,0,0,0,0,0,0,0
402,RHI,,0,0,0,0,0,0,0,0,0,0,0,0,0
396,RHT,,0,0,0,0,0,0,0,0,0,0,0,0,0
393,RJF,,0,0,0,0,0,0,0,0,0,0,0,0,0
377,RL,,0,0,0,0,0,0,0,0,0,0,0,0,0
401,RMD,,0,0,0,0,0,0,0,0,0,0,0,0,0
403,ROK,,0,0,0,0,0,0,0,0,0,0,0,0,0
404,ROL,,0,0,0,0,0,0,0,0,0,0,0,0,0
405,ROP,,0,0,0,0,0,0,0,0,0,0,0,0,0
406,ROST,,0,0,0,0,0,0,0,0,0,0,0,0,0
400,RSG,,0,0,0,0,0,0,0,0,0,0,0,0,0
394,RTN,,0,0,0,0,0,0,0,0,0,0,0,0,0
409,SBAC,,0,0,0,0,0,0,0,0,0,0,0,0,0
423,SBUX,,0,0,0,0,0,0,0,0,0,0,0,0,0
106,SCHW,,0,0,0,0,0,0,0,0,0,0,0,0,0
412,SEE,,0,0,0,0,0,0,0,0,0,0,0,0,0
414,SHW,,0,0,0,0,0,0,0,0,0,0,0,0,0
427,SIVB,,0,0,0,0,0,0,0,0,0,0,0,0,0
269,SJM,,0,0,0,0,0,0,0,0,0,0,0,0,0
410,SLB,,0,0,0,0,0,0,0,0,0,0,0,0,0
417,SLG,,0,0,0,0,0,0,0,0,0,0,0,0,0
418,SNA,,0,0,0,0,0,0,0,0,0,0,0,0,0
430,SNPS,,0,0,0,0,0,0,0,0,0,0,0,0,0
419,SO,,0,0,0,0,0,0,0,0,0,0,0,0,0
